기간	구분	구분	전체	남자	여자
2017	서울시	서울시	18.8	35.1	3.3
2017	생애주기별	19~29세	19.6	33.6	5.7
2017	생애주기별	30~44세	23.6	43.1	3.9
2017	생애주기별	45~64세	19.2	37.3	2.5
2017	생애주기별	65세 이상	8.4	16.7	1.5
2017	교육수준별Ⅰ(30~64세)	중졸이하	20.4	47.7	2.9
2017	교육수준별Ⅰ(30~64세)	고졸	25.3	49.1	5.8
2017	교육수준별Ⅰ(30~64세)	대졸이상	19.1	34.9	1.6
2017	교육수준별Ⅱ(65세 이상)	초졸이하	6.9	19.1	-
2017	교육수준별Ⅱ(65세 이상)	중졸	9.6	19.4	-
2017	교육수준별Ⅱ(65세 이상)	고졸이상	9.3	14.7	-
2017	직업별(30~64세)	육체직	34.7	49	2.5
2017	직업별(30~64세)	서비스ㆍ판매직	25.5	46.9	5.8
2017	직업별(30~64세)	사무직	21.4	34.2	2.6
2017	종로구	종로구	16.5	31.1	2.5
2017	중구	중구	19.1	35.6	3.1
2017	용산구	용산구	19.7	36.6	4.2
2017	성동구	성동구	19.2	36	2.9
2017	광진구	광진구	18	33.4	3.5
2017	동대문구	동대문구	22.4	39.6	5.3
2017	중랑구	중랑구	23	42.2	4.2
2017	성북구	성북구	18.5	34.4	3.7
2017	강북구	강북구	22.9	41.5	5.2
2017	도봉구	도봉구	21.2	38.7	4.6
2017	노원구	노원구	17.2	32.7	3
2017	은평구	은평구	20.8	37.4	5.5
2017	서대문구	서대문구	20.7	39.3	3.5
2017	마포구	마포구	16.5	30.5	3.9
2017	양천구	양천구	19.2	35.3	3.9
2017	강서구	강서구	20.7	38.8	3.8
2017	구로구	구로구	17.2	33.8	F
2017	금천구	금천구	20.1	37.1	2.4
2017	영등포구	영등포구	16.3	30.9	F
2017	동작구	동작구	16.8	32.2	F
2017	관악구	관악구	20.3	37.3	3
2017	서초구	서초구	14.5	28.3	F
2017	강남구	강남구	16.1	31.1	2.8
2017	송파구	송파구	17.2	34.4	F
2017	강동구	강동구	17.4	31.2	4.1
