사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
Sep-20,1호선,1,서울역,"724,320","711,203","137,054","128,369"
Sep-20,1호선,10,동묘앞,"106,120","112,366","123,144","123,667"
Sep-20,1호선,2,시청,"376,545","376,445","50,389","47,503"
Sep-20,1호선,3,종각,"600,944","591,275","95,352","89,734"
Sep-20,1호선,4,종로3가,"316,661","287,846","226,692","213,457"
Sep-20,1호선,5,종로5가,"295,041","301,544","198,655","190,007"
Sep-20,1호선,6,동대문,"184,244","184,462","94,355","95,369"
Sep-20,1호선,7,신설동,"226,849","227,364","92,148","88,012"
Sep-20,1호선,8,제기동,"202,713","199,630","246,990","268,967"
Sep-20,1호선,9,청량리(서울시립대입구),"278,851","272,423","242,323","252,268"
Sep-20,2호선,11,시청,"431,147","424,000","35,332","31,482"
Sep-20,2호선,12,을지로입구,"727,392","745,838","69,868","65,576"
Sep-20,2호선,13,을지로3가,"363,805","362,930","52,539","51,274"
Sep-20,2호선,14,을지로4가,"207,153","206,706","75,846","73,774"
Sep-20,2호선,15,동대문역사문화공원(DDP),"227,270","257,432","37,587","39,523"
Sep-20,2호선,16,신당,"246,284","250,421","75,735","77,857"
Sep-20,2호선,17,상왕십리,"260,078","248,579","47,392","47,816"
Sep-20,2호선,18,왕십리(성동구청),"315,491","257,021","37,939","32,287"
Sep-20,2호선,19,한양대,"144,842","154,060","10,034","10,448"
Sep-20,2호선,20,뚝섬,"392,526","425,793","43,207","44,047"
Sep-20,2호선,21,성수,"623,188","695,933","77,881","79,334"
Sep-20,2호선,22,건대입구,"685,525","746,414","65,132","67,688"
Sep-20,2호선,23,구의(광진구청),"448,296","433,768","74,006","75,494"
Sep-20,2호선,24,강변(동서울터미널),"611,091","625,203","81,944","80,915"
Sep-20,2호선,25,잠실나루,"246,940","237,997","56,207","56,479"
Sep-20,2호선,26,잠실(송파구청),"1,270,679","1,255,126","118,662","112,801"
Sep-20,2호선,27,잠실새내,"363,411","369,392","70,431","70,938"
Sep-20,2호선,28,종합운동장,"123,812","133,886","24,767","25,195"
