사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
20-Sep,1호선,1,서울역,713 ,9 ,8936 ,5592 ,9919 ,28094 ,27805 ,74330 ,47341 ,146295 ,32081 ,98363 ,28675 ,46167 ,33523 ,37752 ,40200 ,39548 ,42585 ,40182 ,38936 ,37543 ,50307 ,38431 ,54527 ,40177 ,97795 ,51018 ,147620 ,53649 ,70612 ,38697 ,47417 ,24004 ,45462 ,19509 ,27347 ,12350 ,9553 ,7368 ,20 ,494 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,1호선,10,동묘앞,126 ,0 ,3295 ,869 ,3188 ,3731 ,4865 ,8017 ,6909 ,19482 ,6617 ,15413 ,7970 ,16183 ,12463 ,21050 ,16678 ,23740 ,21599 ,25371 ,24147 ,25031 ,26685 ,21425 ,26596 ,16001 ,23955 ,11997 ,21410 ,8836 ,9733 ,5679 ,5202 ,3573 ,4295 ,3471 ,2516 ,2913 ,1012 ,2083 ,2 ,1168 ,0 ,0 ,1 ,0 ,0 ,0 
20-Sep,1호선,2,시청,21 ,0 ,1624 ,3522 ,2771 ,15780 ,5292 ,52899 ,6733 ,133466 ,6897 ,64441 ,7812 ,24205 ,10886 ,19464 ,11804 ,17086 ,14210 ,17372 ,18699 ,14961 ,24803 ,12566 ,29344 ,10813 ,57680 ,11571 ,109734 ,10644 ,41064 ,5769 ,30079 ,3384 ,28344 ,3132 ,14648 ,1708 ,4484 ,1105 ,5 ,60 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,1호선,3,종각,89 ,3 ,2630 ,3801 ,2927 ,20527 ,4765 ,83220 ,7135 ,174753 ,9549 ,105246 ,12550 ,44121 ,18639 ,33221 ,21036 ,29504 ,26294 ,31819 ,32707 ,27339 ,42055 ,24423 ,48905 ,23231 ,102782 ,23687 ,154909 ,26281 ,67338 ,15051 ,52091 ,6424 ,50758 ,4243 ,28961 ,2508 ,10161 ,1457 ,15 ,150 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,1호선,4,종로3가,165 ,20 ,3403 ,2638 ,3263 ,10434 ,4150 ,21207 ,6318 ,58620 ,9441 ,58923 ,16524 ,47762 ,25563 ,44474 ,30257 ,41826 ,35011 ,41721 ,39567 ,39715 ,43920 ,33953 ,47606 ,28013 ,59243 ,23756 ,83298 ,22092 ,47250 ,11679 ,31863 ,5152 ,30178 ,3969 ,19370 ,2789 ,6935 ,2167 ,28 ,393 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,1호선,5,종로5가,27 ,3 ,1608 ,3467 ,2334 ,13114 ,3976 ,34836 ,6444 ,89143 ,9692 ,58763 ,16095 ,42303 ,23454 ,37740 ,26959 ,35499 ,31076 ,33573 ,36759 ,33646 ,41888 ,29614 ,46651 ,23868 ,63887 ,19239 ,86310 ,16485 ,40929 ,8915 ,24108 ,4093 ,18092 ,3368 ,10408 ,2242 ,2992 ,1448 ,7 ,192 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,1호선,6,동대문,483 ,11 ,12628 ,1669 ,8737 ,6184 ,12389 ,10630 ,16251 ,22032 ,15444 ,20049 ,13838 ,17979 ,15171 ,19253 ,17336 ,19666 ,17637 ,19388 ,19225 ,18399 ,19824 ,18145 ,21058 ,16376 ,21450 ,16323 ,20890 ,16659 ,14306 ,18547 ,11370 ,11865 ,9922 ,9649 ,7515 ,7950 ,3097 ,8205 ,25 ,850 ,2 ,0 ,1 ,2 ,0 ,0 
20-Sep,1호선,7,신설동,292 ,8 ,8134 ,2277 ,7828 ,8189 ,14871 ,22632 ,19983 ,54759 ,14644 ,31028 ,12542 ,17300 ,14743 ,15327 ,14409 ,15683 ,16456 ,15818 ,17210 ,15005 ,19600 ,15542 ,23407 ,16020 ,34614 ,18087 ,49596 ,22349 ,19559 ,15657 ,11965 ,9535 ,10435 ,8835 ,6425 ,6505 ,2267 ,4472 ,16 ,346 ,1 ,2 ,0 ,0 ,0 ,0 
20-Sep,1호선,8,제기동,332 ,3 ,4394 ,2332 ,7556 ,8183 ,18973 ,19508 ,26777 ,40143 ,20477 ,37570 ,26103 ,41521 ,34935 ,43704 ,38761 ,39245 ,38866 ,39392 ,39808 ,41925 ,41926 ,37596 ,38213 ,29379 ,36950 ,22654 ,34461 ,22933 ,16182 ,15374 ,9483 ,9108 ,7975 ,8182 ,5558 ,6163 ,1964 ,3342 ,9 ,340 ,0 ,0 ,0 ,0 ,0 ,0 
